"","X1","Site","Subplot","SubplotID","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","X","group","dbh.class"
"2514",81,"UMBS",419,"D02E",370,"ACRU",15.8,"L","OS",NA,"cluster","IN A SEPARATE PLOT, new plot is 419","D","13-18"
"2515",82,"UMBS",419,"D02E",371,"ACRU",8.8,"L","OS",NA,"cluster",NA,"D","8-13"
"2516",83,"UMBS",419,"D02E",372,"QURU",18.2,"L","OS",NA,NA,NA,"D","18-23"
"2517",84,"UMBS",419,"D02E",373,"QURU",24.6,"L","OD",NA,NA,"IN A SEPARATE PLOT, new plot is419","D","23-28"
"2518",85,"UMBS",419,"D02E",374,"QURU",19.2,"M","OS",NA,"Veg plot NW",NA,"D","18-23"
"2519",86,"UMBS",419,"D02E",375,"QURU",27.9,"L","OD",NA,NA,NA,"D","23-28"
"2520",87,"UMBS",419,"D02E",376,"QURU",37.6,"L","OD",NA,NA,"IN A SEPARATE PLOT, new plot is 419","D","33-38"
"2521",88,"UMBS",419,"D02E",377,"PIST",8.4,"L","OS",NA,"A little above dbh line",NA,"D","8-13"
"2522",89,"UMBS",419,"D02E",378,"PIST",13.2,"L","OS",NA,NA,NA,"D","13-18"
"2523",90,"UMBS",419,"D02E",379,"QURU",34.9,"L","OD",NA,"Has some widowmakers",NA,"D","33-38"
"2524",91,"UMBS",419,"D02E",380,"?",29.8,"D","UN",NA,NA,NA,"D","28-33"
"2525",92,"UMBS",419,"D02E",381,"QURU",56.2,"L","OD",NA,NA,"IN A SEPARATE PLOT , new plot is 419","D","53-58"
"2526",93,"UMBS",419,"D02E",382,"ACRU",8,"L","OS",NA,NA,NA,"D","8-13"
"2527",94,"UMBS",419,"D02E",383,"QURU",26.2,"L","OD",NA,NA,NA,"D","23-28"
"2528",1,"UMBS",422,"D02W",206,"ACRU",18.3,"L","OD","6/22/2018",NA,NA,"D","18-23"
"2529",2,"UMBS",422,"D02W",207,"QURU",34.4,"L","OD","6/22/2018",NA,NA,"D","33-38"
