"","Species","Subplot","Tag","Site","dbh","Health_status","Canopy_status","Date","Notes","SubplotID","group","plotID","Latitude","Longitude","component","a","b","se","source","ref","leaf.mass","genus","sla","leaf.area"
"79","ACRU",233,"2110","UMBS",10.2,"D","OS","7/6/2018","2110 & 2111 share base","B03E","B","B03",45.5561852,-84.7253929,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.33337742001258,"Acer",19,25.334170980239
"80","ACRU",212,"1679","UMBS",16.1,"D","UN","07/04/2018","1677-1679 share base","B01E","B","B01",45.5566481,-84.7264662,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.69290281866381,"Acer",19,51.1651535546124
"81","ACRU",241,"2170","UMBS",20.5,"L","OS","07/06/2018","2169-2173 share base","B04W","B","B04",45.5562037,-84.724487,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",3.90669743901205,"Acer",19,74.2272513412289
"82","ACRU",233,"2099","UMBS",10.9,"L","OS","7/6/2018","2095 - 2097 share base, in a cluster with 2098 and 2099","B03E","B","B03",45.5561647,-84.7252649,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.47688146005833,"Acer",19,28.0607477411083
"83","ACRU",242,"2258","UMBS",11.4,"L","OS","07/06/2018","2257 - 2258 share base","B04E","B","B04",45.5562552,-84.7240667,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.58249484097633,"Acer",19,30.0674019785502
"84","ACRU",312,"795","UMBS",12.4,"L","OS","06/26/2018","","C01E","C","C01",45.5625092,-84.7076788,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.80126755715205,"Acer",19,34.2240835858889
"85","ACRU",210,"1559","UMBS",8.2,"L","OS","07/03/2018","1556-1560 share base, 1559 in new plot 210","B01W","B","B01",45.5567592,-84.7271407,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.952757035581599,"Acer",19,18.1023836760504
"86","ACRU",311,"879","UMBS",10.7,"L","UN","06/27/2018","Shared base with smaller trees","C01W","C","C01",45.5624691,-84.708042,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.43535672838668,"Acer",19,27.2717778393469
"87","ACRU",220,"1774","UMBS",23.1,"L","OS","07/05/2018","1774-1775 share base, 1774 in new plot 220","B02W","B","B02",45.5557014,-84.7269708,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",4.69538578521965,"Acer",19,89.2123299191733
"88","ACRU",131,"2446","UMBS",11,"L","OS","07/11/2018","","A03W","A","A03",45.563049,-84.727575,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.49779910572978,"Acer",19,28.4581830088658
"89","ACRU",331,"1248","UMBS",9.1,"L","OS","06/28/2018","Shared base with 1246 & 1247","C03W","C","C03",45.5630947,-84.7058326,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.11849121147078,"Acer",19,21.2513330179448
"90","ACRU",231,"1966","UMBS",12.2,"L","OS","07/05/2018","1965-1966 share base","B03W","B","B03",45.5563512,-84.7258738,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.75672172051558,"Acer",19,33.377712689796
"91","ACRU",212,"1729","UMBS",11.3,"D","OS","07/04/2018","read as outside plot at 18.13 m","B01E","B","B01",45.5567779,-84.7267665,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.56116797847633,"Acer",19,29.6621915910503
"92","ACRU",242,"2253","UMBS",8.2,"D","OS","07/06/2018","","B04E","B","B04",45.5563004,-84.7240419,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",0.952757035581599,"Acer",19,18.1023836760504
"93","ACRU",111,"2982","UMBS",27.6,"L","OS","07/13/2018","2981-2984 share base, 2982 reading taken above DBH","A01W","A","A01",45.5637667,-84.728989,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",6.17602177006002,"Acer",19,117.34441363114
"94","ACRU",132,"2527","UMBS",13.6,"L","OS","07/11/2018","","A03E","A","A03",45.5628859,-84.726871,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",2.0766282162083,"Acer",19,39.4559361079578
"95","ACRU",230,"2054","UMBS",11.6,"L","OS","07/05/2018","2052-2054 share base, 2054 in new plot 230","B03W","B","B03",45.5564122,-84.7260513,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.62545194767728,"Acer",19,30.8835870058684
"96","ACRU",241,"92243","UMBS",10.4,"L","OS","07/06/2018","2240-2243 share base","B04W","B","B04",45.5562654,-84.7247068,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.37385270868471,"Acer",19,26.1032014650095
"97","ACRU",212,"1706","UMBS",10.9,"L","OS","07/04/2018","1706-1708 share base","B01E","B","B01",45.5566795,-84.7268,"FL",0.0373,1.54,0.569,"Michigan","Crow and Erdman, 1983",1.47688146005833,"Acer",19,28.0607477411083
