"","Site","Subplot","Tag","Species","DBH_cm","Health_status","Canopy_status","Date","Notes","SubplotID"
"356","UMBS",-99999,-99999,"",-99999,"","","","",NA
"357","UMBS",-99999,-99999,"",-99999,"","","","",NA
"358","UMBS",-99999,-99999,"",-99999,"","","","",NA
"359","UMBS",-99999,-99999,"",-99999,"","","","",NA
"360","UMBS",-99999,-99999,"",-99999,"","","","",NA
"361","UMBS",-99999,-99999,"",-99999,"","","","",NA
"362","UMBS",-99999,-99999,"",-99999,"","","","",NA
"363","UMBS",-99999,-99999,"",-99999,"","","","",NA
"364","UMBS",-99999,-99999,"",-99999,"","","","",NA
"365","UMBS",-99999,-99999,"",-99999,"","","","",NA
"366","UMBS",-99999,-99999,"",-99999,"","","","",NA
"367","UMBS",-99999,-99999,"",-99999,"","","","",NA
"368","UMBS",-99999,-99999,"",-99999,"","","","",NA
"369","UMBS",-99999,-99999,"",-99999,"","","","",NA
"370","UMBS",-99999,-99999,"",-99999,"","","","",NA
"371","UMBS",-99999,-99999,"",-99999,"","","","",NA
"372","UMBS",-99999,-99999,"",-99999,"","","","",NA
"373","UMBS",-99999,-99999,"",-99999,"","","","",NA
"374","UMBS",-99999,-99999,"",-99999,"","","","",NA
"375","UMBS",-99999,-99999,"",-99999,"","","","",NA
"376","UMBS",-99999,-99999,"",-99999,"","","","",NA
"377","UMBS",-99999,-99999,"",-99999,"","","","",NA
"378","UMBS",-99999,-99999,"",-99999,"","","","",NA
"379","UMBS",-99999,-99999,"",-99999,"","","","",NA
"380","UMBS",-99999,-99999,"",-99999,"","","","",NA
"381","UMBS",-99999,-99999,"",-99999,"","","","",NA
"382","UMBS",-99999,-99999,"",-99999,"","","","",NA
"383","UMBS",-99999,-99999,"",-99999,"","","","",NA
"384","UMBS",-99999,-99999,"",-99999,"","","","",NA
"385","UMBS",-99999,-99999,"",-99999,"","","","",NA
"386","UMBS",-99999,-99999,"",-99999,"","","","",NA
"387","UMBS",-99999,-99999,"",-99999,"","","","",NA
"388","UMBS",-99999,-99999,"",-99999,"","","","",NA
"389","UMBS",-99999,-99999,"",-99999,"","","","",NA
"390","UMBS",-99999,-99999,"",-99999,"","","","",NA
"391","UMBS",-99999,-99999,"",-99999,"","","","",NA
"392","UMBS",-99999,-99999,"",-99999,"","","","",NA
"393","UMBS",-99999,-99999,"",-99999,"","","","",NA
"394","UMBS",-99999,-99999,"",-99999,"","","","",NA
"395","UMBS",-99999,-99999,"",-99999,"","","","",NA
"396","UMBS",-99999,-99999,"",-99999,"","","","",NA
"397","UMBS",-99999,-99999,"",-99999,"","","","",NA
"398","UMBS",-99999,-99999,"",-99999,"","","","",NA
"399","UMBS",-99999,-99999,"",-99999,"","","","",NA
"400","UMBS",-99999,-99999,"",-99999,"","","","",NA
"401","UMBS",-99999,-99999,"",-99999,"","","","",NA
"402","UMBS",-99999,-99999,"",-99999,"","","","",NA
"403","UMBS",-99999,-99999,"",-99999,"","","","",NA
"404","UMBS",-99999,-99999,"",-99999,"","","","",NA
"405","UMBS",-99999,-99999,"",-99999,"","","","",NA
